Line No,GOE Rev history,CA INPUT,Project Tag Status,File Source,Line No.1,Service / Description,Tag. Reg.,Project,GOE project CODE,Comment,PID DrawingNo,PID DrawingNo.1,PIDDrawingNo,Isometric Drawing No,Other Drawing No,GOE doc number-Naval-ing_comment,GOE doc number,GOE doc number no.3-4,Datasheet,Certificate DOC. No,Discipline,ISO ownership,System,Status,To Line No,From Line No,Package No,External coating,Internal coating,Material type,"Line """,Service Code,Insulation,Pipe Class,"Oper. Pressure 
(BARG)","Design Pressure 
(BARG)","Test Pressure 
(BARG)","Oper. 
Temperature 
(Deg C)","Design 
Temperature 
(Deg C)","Standard Velocity 
(m/s)","Calculated Velocity 
(m/s)",Replaced Line No,"Foreign 
Line No",PED / NR13,Modified By,Modified Date,AREA,PED Category,DCN NumBer,ComBined Thermal and Acoustic Insulation,Flushing and Drying,Chemical Cleaning,Internal Pickling and Passivation,Hot Oil Flushing,External Pickling and Passivation,Fluid state,Fluids,PED Fluid Group,PED Module(s),Equipment Type (as per 4119),Flange Management Criticality,DNV/ABS Piping Class,NDT,Unnamed: 64,Naval_comment,ISO booklet number,Remarks,Naviswork support tags_Marin,Fab drg booklet number and pages_Marin,OSE response 09/02/2026,TPR_comment,TPR_pid_no
"55-3""-WFE-G2-7561-PP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 2 [P&ID: '1""' vs Master: '3""']",
"55-6""-WFE-G2-5525-PP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 5 parts, Master has 6, Part 1 [P&ID: '53' vs Master: '55'], Part 2 [P&ID: '14""' vs Master: '6""'], Part 3 [P&ID: 'WFR' vs Master: 'WFE']",
"55-4""-SC-G2-7008-PP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmatched - Not found in latest P&ID,
"55-4""-SC-G2-7539-PP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 2 [P&ID: '10""' vs Master: '4""']",
"55-4""-SC-G2-7757-PP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 5 parts, Master has 6, Part 1 [P&ID: '62' vs Master: '55'], Part 2 [P&ID: '3""' vs Master: '4""'], Part 3 [P&ID: 'OF' vs Master: 'SC']",
"91-8""-VA-G1-5550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '44' vs Master: '91'], Part 2 [P&ID: '2""' vs Master: '8""'], Part 3 [P&ID: 'BS' vs Master: 'VA']",
"91-6""-VA-G1-7028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '53' vs Master: '91'], Part 2 [P&ID: '12""' vs Master: '6""'], Part 3 [P&ID: 'WFR' vs Master: 'VA'], Part 4 [P&ID: 'G2' vs Master: 'G1']",
"91-1""-VA-G1-7030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '35' vs Master: '91'], Part 2 [P&ID: '3""' vs Master: '1""'], Part 3 [P&ID: 'DM' vs Master: 'VA'], Part 4 [P&ID: 'AD20' vs Master: 'G1']",
"91-3/4""-VA-G1-7853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmatched - Not found in latest P&ID,
"91-3/4""-VA-G1-7854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmatched - Not found in latest P&ID,
"66-2.1/2""-DS-G1-7786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matched,
56-2“-DO-G1-7825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmatched - Not found in latest P&ID,
"56-2""-DO-G1-7809-PP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 4 parts, Master has 6, Part 1 [P&ID: '53.3/8""' vs Master: '56'], Part 2 [P&ID: 'WFR' vs Master: '2""'], Part 3 [P&ID: 'J1' vs Master: 'DO'], Part 4 [P&ID: '7809' vs Master: 'G1']",
"56-2""-DO-G1-7850-PP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmatched - Not found in latest P&ID,
"67-1.1/2""-AI-G1-5597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matched,
